feature,coefficient,abs_coefficient
comment_sample_size,0.9324662938321553,0.9324662938321553
likes,0.7930341078975895,0.7930341078975895
avg_compound,-0.6607742585683547,0.6607742585683547
no_comments,0.6511364285136934,0.6511364285136934
avg_pos,0.43172332019397586,0.43172332019397586
comment_count,-0.40811717358284405,0.40811717358284405
avg_neg,-0.2903646874909236,0.2903646874909236
view_count,0.22966496308760473,0.22966496308760473
view_like_ratio,-0.02702174027649548,0.02702174027649548
age,0.019100956507774065,0.019100956507774065
