feature,mean,scale
view_count,5497046.657667386,21378441.840606067
likes,169869.6612526998,552280.1925567343
comment_count,10619.859870410368,132574.45513157672
avg_compound,0.11281294111226782,0.1205179031981183
avg_pos,0.12978829437373654,0.07995660875688491
avg_neg,0.052345784581425484,0.041529625963582534
comment_sample_size,45.0332181425486,14.882191736980758
no_comments,0.09503239740820735,0.29325968159816296
view_like_ratio,68.20272365819736,949.1262179879884
age,245.56518358531318,145.46013669267248
